Reference,Quantity,Identifier,Package,Value,Tolerance,Voltage,Current,Power,PN,Mouser
"U2","1","","","LIS2DE12TR","","","","","",""
"U4","1","","","BMG250","","","","","",""
"U1","1","","","TPS613222ADBVR","","","","","",""
"J2;J1","2","","","Conn_01x02","","","","","",""
"C4","1","","","22uF","","","","","","963-LMK212BJ226MG-T"
"L1","1","","","4.7uH","","","","","",""
"Q2;Q1","2","","","Q_PMOS_DGS","","","","","",""
"R3;R8;R1","3","","","1k","","","","","","755-ESR03EZPJ102"
"C13;C12;C5;C6;C9","5","","","100nF","","","","","","710-885012105018"
"U3","1","","","MSP430FR2512IRHLR","","","","","",""
"C16;C15;C14","3","","","0.33uF","","","","","","710-885012105003"
"Y1","1","","","32.786kHz","","","","","",""
"C10;C11","2","","","10pF","","","","","","81-GCQ1555C1H100RB1D"
"C8;C2;C1;C3;C7","5","","","4.7uF","","","","","","810-CGB3B1X5R1A475MC"
"R9;R10;R4","3","","","470","","","","","","791-RMC1/16S-471JTH"
"J3","1","","","Conn_01x03","","","","","",""
"J4","1","","","Conn_02x02_Odd_Even","","","","","",""
"MH1;MH2","2","","","MountingHole","","","","","",""
"R11;R2","2","","","47k","","","","","","603-RC0603JR-0747KL"
"C17","1","","","1000pF 5%","","","","","","710-885012207033"
"R6;R7;R5","3","","","4.7k","","","","","","603-RT0402FRE074K7L"
"Q3","1","","","Q_NPN_BEC","","","","","","863-BC847BLT1G"
