Reference,Quantity,Identifier,Package,Value,Tolerance,Voltage,Current,Power,PN,Mouser
"J104;J103;J106;J105","4","","","Conn_01x04","","","","","","NoPart"
"BT101","1","","","Battery","","","","","","NoPart"
"TP101;TP201;TP202;TP301;TP302;TP401;TP402;TP501;TP502;TP601;TP602;TP701;TP702;TP801;TP802;TP901;TP902","17","","","TestPoint_Alt","","","","","","NoPart"
"J101;J107;J102;J108","4","","","Conn_01x05","","","","","","NoPart"
"MH101;MH102;MH103;MH104","4","","","MountingHole","","","","","","NoPart"
"Q201;Q202;Q301;Q302;Q401;Q402;Q501;Q502;Q601;Q602;Q701;Q702;Q801;Q802;Q901;Q902","16","","","RQ3E100BNTB","","","","","","755-RQ3E100BNTB"
"U201;U301;U401;U501;U601;U701;U801;U901","8","","","DGD0506A","","","","","","621-DGD0506AM10-13"
"R201;R203;R301;R303;R401;R403;R501;R503;R601;R603;R701;R703;R801;R803;R901;R903","16","","","0","","","","","","755-SFR03EZPJ000"
"R202;R302;R402;R502;R602;R702;R802;R902","8","","","10k","","","","","","603-RC0402JR-0710KL"
"C205;C202;C305;C302;C405;C402;C505;C502;C605;C602;C705;C702;C805;C802;C905;C902","16","","","100nF","","","","","","710-885012105018"
"C201;C301;C401;C501;C601;C701;C801;C901","8","","","10uF","","","","","","710-865080440002"
"C203;C303;C403;C503;C603;C703;C803;C903","8","","","470uF","","","","","","140-REA471M1EBK1012P"
"C204;C304;C404;C504;C604;C704;C804;C904","8","","","1000uF","","","","","","598-108SAK025M"
"L201;L301;L401;L501;L601;L701;L801;L901","8","","","100uH","","","","","","810-MLZ2012N101LT000"
"C206;C306;C406;C506;C606;C706;C806;C906","8","","","DNP 0603","","","","","","NoPart"
