Reference,Quantity,Identifier,Package,Value,Tolerance,Voltage,Current,Power,PN,Mouser
"U2","1","","","LIS2DE12TR","","","","","","511-LIS2DE12TR"
"U4","1","","","BMG250","","","","","","262-BMG250"
"U1","1","","","TPS613222ADBVR","","","","","","595-TPS613222ADBVR"
"J2","1","","","Conn_01x02","","","","","","NoPart"
"C4","1","","","22uF","","","","","","963-LMK212BJ226MG-T"
"L1","1","","","4.7uH","","","","","","963-NRH2410T4R7MN"
"C13;C12;C5;C6;C9","5","","","100nF","","","","","","710-885012105018"
"U3","1","","","MSP430FR2512IRHLR","","","","","","595-430FR2512IRHLR"
"C16;C15;C14","3","","","0.33uF","","","","","","710-885012105003"
"Y1","1","","","32.786kHz","","","","","","520-ECS327-6-13-X"
"C10;C11","2","","","10pF","","","","","","81-GCQ1555C1H100RB1D"
"C8;C2;C1;C3;C7;C20;C19;C18","8","","","4.7uF","","","","","","810-CGB3B1X5R1A475MC"
"R9;R10;R4","3","","","470","","","","","","791-RMC1/16S-471JTH"
"J3","1","","","Conn_01x03","","","","","","NoPart"
"J4","1","","","Conn_02x02_Odd_Even","","","","","","NoPart"
"R11;R3","2","","","47k","","","","","","603-RC0603JR-0747KL"
"C17;C21","2","","","1000pF 5%","","","","","","710-885012207033"
"R6;R7;R5;R12","4","","","4.7k","","","","","","603-RT0402FRE074K7L"
"R8","1","","","1k","","","","","","755-ESR03EZPJ102"
"Q3","1","","","BC847BLT1G","","","","","","863-BC847BLT1G"
"R1;R2;R14;R13","4","","","33","","","","","","755-ESR03EZPJ330"
"D1","1","","","LED","","","","","","941-JB3030W00A0UC435"
"J1","1","","","Conn_01x01","","","","","","NoPart"
"U5","1","","","TPS22917DBVR","","","","","","595-TPS22917DBVR"
"Q1","1","","","DMP3099L-7","","","","","","621-DMP3099L-7"
